#,Country,"GDP (nominal, 2022)",GDP growth,Population (2022),GDP per capita,Share of World GDP
1,United States,"$25,462,700,000,000",$25.463 trillion,2.06%,"338,289,857","$75,269"
2,China,"$17,963,200,000,000",$17.963 trillion,2.99%,"1,425,887,337","$12,598"
3,Japan,"$4,231,140,000,000",$4.231 trillion,1.03%,"123,951,692","$34,135"
4,Germany,"$4,072,190,000,000",$4.072 trillion,1.79%,"83,369,843","$48,845"
5,India,"$3,385,090,000,000",$3.385 trillion,7.00%,"1,417,173,173","$2,389"
6,United Kingdom,"$3,070,670,000,000",$3.071 trillion,4.10%,"67,508,936","$45,485"
7,France,"$2,782,910,000,000",$2.783 trillion,2.56%,"64,626,628","$43,061"
8,Russia,"$2,240,420,000,000",$2.240 trillion,-2.07%,"144,713,314","$15,482"
9,Canada,"$2,139,840,000,000",$2.140 trillion,3.40%,"38,454,327","$55,646"
10,Italy,"$2,010,430,000,000",$2.010 trillion,3.67%,"59,037,474","$34,053"
11,Brazil,"$1,920,100,000,000",$1.920 trillion,2.90%,"215,313,498","$8,918"
12,Australia,"$1,675,420,000,000",$1.675 trillion,3.62%,"26,177,413","$64,003"
13,South Korea,"$1,665,250,000,000",$1.665 trillion,2.56%,"51,815,810","$32,138"
14,Mexico,"$1,414,190,000,000",$1.414 trillion,3.06%,"127,504,125","$11,091"
15,Spain,"$1,397,510,000,000",$1.398 trillion,5.45%,"47,558,630","$29,385"
16,Indonesia,"$1,319,100,000,000",$1.319 trillion,5.31%,"275,501,339","$4,788"
17,Saudi Arabia,"$1,108,150,000,000",$1.108 trillion,8.74%,"36,408,820","$30,436"
18,Netherlands,"$991,115,000,000",$991 billion,4.48%,"17,564,014","$56,429"
19,Turkey,"$905,988,000,000",$906 billion,5.57%,"85,341,241","$10,616"
20,Switzerland,"$807,706,000,000",$808 billion,2.06%,"8,740,472","$92,410"
21,Poland,"$688,177,000,000",$688 billion,4.87%,"39,857,145","$17,266"
22,Argentina,"$632,770,000,000",$633 billion,5.24%,"45,510,318","$13,904"
23,Sweden,"$585,939,000,000",$586 billion,2.64%,"10,549,347","$55,543"
24,Norway,"$579,267,000,000",$579 billion,3.28%,"5,434,319","$106,594"
25,Belgium,"$578,604,000,000",$579 billion,3.25%,"11,655,930","$49,640"
26,Ireland,"$529,245,000,000",$529 billion,11.97%,"5,023,109","$105,362"
27,Israel,"$522,033,000,000",$522 billion,6.46%,"9,038,309","$57,758"
28,United Arab Emirates,"$507,535,000,000",$508 billion,7.41%,"9,441,129","$53,758"
29,Thailand,"$495,341,000,000",$495 billion,2.59%,"71,697,030","$6,909"
30,Nigeria,"$477,386,000,000",$477 billion,3.25%,"218,541,212","$2,184"
31,Egypt,"$476,748,000,000",$477 billion,6.59%,"110,990,103","$4,295"
32,Austria,"$471,400,000,000",$471 billion,5.00%,"8,939,617","$52,732"
33,Singapore,"$466,789,000,000",$467 billion,3.65%,"5,975,689","$78,115"
34,Bangladesh,"$460,201,000,000",$460 billion,7.10%,"171,186,372","$2,688"
35,Vietnam,"$408,802,000,000",$409 billion,8.02%,"98,186,856","$4,164"
36,Malaysia,"$406,306,000,000",$406 billion,8.69%,"33,938,221","$11,972"
37,South Africa,"$405,870,000,000",$406 billion,2.04%,"59,893,885","$6,776"
38,Philippines,"$404,284,000,000",$404 billion,7.57%,"115,559,009","$3,499"
39,Denmark,"$395,404,000,000",$395 billion,3.82%,"5,882,261","$67,220"
40,Iran,"$388,544,000,000",$389 billion,2.75%,"88,550,570","$4,388"
41,Pakistan,"$376,533,000,000",$377 billion,6.19%,"235,824,862","$1,597"
42,Hong Kong,"$359,839,000,000",$360 billion,-3.48%,"7,488,865","$48,050"
43,Colombia,"$343,939,000,000",$344 billion,7.50%,"51,874,024","$6,630"
44,Romania,"$301,262,000,000",$301 billion,4.79%,"19,659,267","$15,324"
45,Chile,"$301,025,000,000",$301 billion,2.44%,"19,603,733","$15,355"
46,Czech Republic (Czechia),"$290,924,000,000",$291 billion,2.46%,"10,493,986","$27,723"
47,Finland,"$280,826,000,000",$281 billion,2.08%,"5,540,745","$50,684"
48,Iraq,"$264,182,000,000",$264 billion,7.01%,"44,496,122","$5,937"
49,Portugal,"$251,945,000,000",$252 billion,6.69%,"10,270,865","$24,530"
50,New Zealand,"$247,234,000,000",$247 billion,2.16%,"5,185,288","$47,680"
51,Peru,"$242,632,000,000",$243 billion,2.68%,"34,049,588","$7,126"
52,Qatar,"$237,296,000,000",$237 billion,4.83%,"2,695,122","$88,046"
53,Kazakhstan,"$220,623,000,000",$221 billion,3.20%,"19,397,998","$11,373"
54,Greece,"$219,066,000,000",$219 billion,5.91%,"10,384,971","$21,095"
55,Algeria,"$191,913,000,000",$192 billion,3.10%,"44,903,225","$4,274"
56,Kuwait,"$184,558,000,000",$185 billion,8.18%,"4,268,873","$43,233"
57,Hungary,"$178,789,000,000",$179 billion,4.58%,"9,967,308","$17,938"
58,Ukraine,"$160,503,000,000",$161 billion,-29.10%,"39,701,739","$4,043"
59,Morocco,"$134,182,000,000",$134 billion,1.08%,"37,457,971","$3,582"
60,Ethiopia,"$126,783,000,000",$127 billion,5.32%,"123,379,924","$1,028"
61,Slovakia,"$115,469,000,000",$115 billion,1.67%,"5,643,453","$20,461"
62,Ecuador,"$115,049,000,000",$115 billion,2.95%,"18,001,000","$6,391"
63,Oman,"$114,667,000,000",$115 billion,4.31%,"4,576,298","$25,057"
64,Dominican Republic,"$113,642,000,000",$114 billion,4.86%,"11,228,821","$10,121"
65,Kenya,"$113,420,000,000",$113 billion,4.85%,"54,027,487","$2,099"
66,Angola,"$106,714,000,000",$107 billion,3.05%,"35,588,987","$2,999"
67,Guatemala,"$95,003,333,381",$95.00 billion,4.12%,"17,843,908","$5,324"
68,Bulgaria,"$89,040,398,406",$89.04 billion,3.36%,"6,781,953","$13,129"
69,Luxembourg,"$82,274,812,251",$82.27 billion,1.55%,"647,599","$127,046"
70,Uzbekistan,"$80,391,853,885",$80.39 billion,5.67%,"34,627,652","$2,322"
71,Azerbaijan,"$78,721,058,824",$78.72 billion,4.62%,"10,358,074","$7,600"
72,Panama,"$76,522,511,781",$76.52 billion,10.81%,"4,408,581","$17,358"
73,Tanzania,"$75,709,289,056",$75.71 billion,4.56%,"65,497,748","$1,156"
74,Sri Lanka,"$74,403,578,363",$74.40 billion,-7.82%,"21,832,143","$3,408"
75,Ghana,"$72,838,798,788",$72.84 billion,3.24%,"33,475,870","$2,176"
76,Belarus,"$72,793,457,588",$72.79 billion,-4.70%,"9,534,954","$7,634"
77,Uruguay,"$71,177,146,197",$71.18 billion,4.92%,"3,422,794","$20,795"
78,Croatia,"$70,964,606,465",$70.96 billion,6.33%,"4,030,358","$17,608"
79,Lithuania,"$70,334,299,008",$70.33 billion,1.89%,"2,750,055","$25,576"
80,C̫te d'Ivoire,"$70,018,715,017",$70.02 billion,6.74%,"28,160,542","$2,486"
81,Costa Rica,"$68,380,838,316",$68.38 billion,4.31%,"5,180,829","$13,199"
82,Serbia,"$63,501,748,652",$63.50 billion,2.25%,"7,221,365","$8,794"
83,Slovenia,"$62,117,768,015",$62.12 billion,5.37%,"2,119,844","$29,303"
84,Myanmar,"$59,364,362,541",$59.36 billion,3.00%,"54,179,306","$1,096"
85,DR Congo,"$58,065,953,573",$58.07 billion,8.92%,"99,010,212",$586
86,Sudan,"$51,662,241,775",$51.66 billion,-0.95%,"46,874,204","$1,102"
87,Jordan,"$47,451,499,859",$47.45 billion,2.50%,"11,285,869","$4,205"
88,Tunisia,"$46,664,948,952",$46.66 billion,2.52%,"12,356,117","$3,777"
89,Libya,"$45,752,336,036",$45.75 billion,-1.24%,"6,812,341","$6,716"
90,Uganda,"$45,559,202,049",$45.56 billion,4.65%,"47,249,585",$964
91,Bahrain,"$44,390,820,479",$44.39 billion,4.86%,"1,472,233","$30,152"
92,Cameroon,"$44,341,646,509",$44.34 billion,3.54%,"27,914,536","$1,588"
93,Bolivia,"$43,068,885,673",$43.07 billion,3.07%,"12,224,110","$3,523"
94,Paraguay,"$41,722,295,362",$41.72 billion,0.08%,"6,780,744","$6,153"
95,Latvia,"$41,153,912,663",$41.15 billion,1.98%,"1,850,651","$22,238"
96,Nepal,"$40,828,247,302",$40.83 billion,5.61%,"30,547,580","$1,337"
97,Estonia,"$38,100,812,959",$38.10 billion,-1.29%,"1,326,062","$28,732"
98,El Salvador,"$32,488,720,000",$32.49 billion,2.60%,"6,336,392","$5,127"
99,Honduras,"$31,717,700,115",$31.72 billion,4.00%,"10,432,860","$3,040"
100,Papua New Guinea,"$30,633,444,295",$30.63 billion,4.60%,"10,142,619","$3,020"
101,Cambodia,"$29,956,769,529",$29.96 billion,5.16%,"16,767,842","$1,787"
102,Zambia,"$29,784,454,056",$29.78 billion,4.74%,"20,017,675","$1,488"
103,Cyprus,"$28,439,052,741",$28.44 billion,5.63%,"1,251,488","$22,724"
104,Trinidad and Tobago,"$27,899,082,337",$27.90 billion,2.48%,"1,531,044","$18,222"
105,Iceland,"$27,841,648,044",$27.84 billion,6.44%,"372,899","$74,663"
106,Senegal,"$27,684,430,244",$27.68 billion,4.15%,"17,316,449","$1,599"
107,Georgia,"$24,605,375,420",$24.61 billion,10.11%,"3,744,385","$6,571"
108,Bosnia and Herzegovina,"$24,527,507,288",$24.53 billion,3.90%,"3,233,526","$7,585"
109,Macao,"$21,979,475,561",$21.98 billion,-26.76%,"695,168","$31,618"
110,Guinea,"$21,227,749,389",$21.23 billion,4.70%,"13,859,341","$1,532"
111,Gabon,"$21,071,739,228",$21.07 billion,3.04%,"2,388,992","$8,820"
112,Zimbabwe,"$20,678,055,598",$20.68 billion,3.40%,"16,320,537","$1,267"
113,Botswana,"$20,352,322,157",$20.35 billion,5.78%,"2,630,296","$7,738"
114,Haiti,"$20,253,551,885",$20.25 billion,-1.68%,"11,584,996","$1,748"
115,Armenia,"$19,502,783,988",$19.50 billion,12.60%,"2,780,469","$7,014"
116,State of Palestine,"$19,111,900,000",$19.11 billion,3.93%,"5,250,072","$3,640"
117,Burkina Faso,"$18,884,619,613",$18.88 billion,1.48%,"22,673,762",$833
118,Albania,"$18,882,095,518",$18.88 billion,4.84%,"2,842,321","$6,643"
119,Mali,"$18,827,176,532",$18.83 billion,3.69%,"22,593,590",$833
120,Mozambique,"$17,851,491,428",$17.85 billion,4.15%,"32,969,518",$541
121,Malta,"$17,765,270,015",$17.77 billion,6.85%,"533,286","$33,313"
122,Benin,"$17,401,746,309",$17.40 billion,6.25%,"13,352,864","$1,303"
123,Jamaica,"$17,097,760,745",$17.10 billion,4.20%,"2,827,377","$6,047"
124,Mongolia,"$16,810,883,361",$16.81 billion,4.85%,"3,398,366","$4,947"
125,Brunei,"$16,681,531,646",$16.68 billion,-1.63%,"449,002","$37,152"
126,Laos,"$15,724,383,783",$15.72 billion,2.71%,"7,529,475","$2,088"
127,Nicaragua,"$15,671,583,878",$15.67 billion,3.75%,"6,948,392","$2,255"
128,Guyana,"$15,357,537,068",$15.36 billion,57.80%,"808,726","$18,990"
129,Madagascar,"$14,954,967,604",$14.95 billion,3.80%,"29,611,714",$505
130,Congo,"$14,615,532,210",$14.62 billion,1.55%,"5,970,424","$2,448"
131,Moldova,"$14,420,947,884",$14.42 billion,-5.95%,"3,272,996","$4,406"
132,Niger,"$13,969,605,583",$13.97 billion,11.50%,"26,207,977",$533
133,North Macedonia,"$13,563,132,057",$13.56 billion,2.15%,"2,093,599","$6,478"
134,Rwanda,"$13,312,796,765",$13.31 billion,8.16%,"13,776,698",$966
135,Malawi,"$13,164,667,627",$13.16 billion,0.92%,"20,405,317",$645
136,Mauritius,"$12,898,307,089",$12.90 billion,8.69%,"1,299,469","$9,926"
137,Bahamas,"$12,897,400,000",$12.90 billion,14.37%,"409,984","$31,458"
138,Chad,"$12,704,149,842",$12.70 billion,2.24%,"17,723,315",$717
139,Namibia,"$12,607,436,976",$12.61 billion,4.56%,"2,567,012","$4,911"
140,Equatorial Guinea,"$11,813,908,448",$11.81 billion,3.15%,"1,674,908","$7,053"
141,Kyrgyzstan,"$10,930,644,915",$10.93 billion,7.02%,"6,630,623","$1,649"
142,Tajikistan,"$10,492,123,388",$10.49 billion,8.00%,"9,952,787","$1,054"
143,Mauritania,"$10,375,460,680",$10.38 billion,5.20%,"4,736,139","$2,191"
144,Togo,"$8,126,439,481",$8.13 billion,5.81%,"8,848,699",$918
145,Maldives,"$6,189,865,408",$6.19 billion,12.30%,"523,787","$11,818"
146,Montenegro,"$6,095,978,868",$6.10 billion,6.09%,"627,082","$9,721"
147,Barbados,"$5,637,914,515",$5.64 billion,10.00%,"281,635","$20,019"
148,Fiji,"$4,943,248,200",$4.94 billion,16.12%,"929,766","$5,317"
149,Eswatini,"$4,854,167,638",$4.85 billion,3.91%,"1,201,670","$4,040"
150,Liberia,"$4,001,047,150",$4.00 billion,4.81%,"5,302,681",$755
151,Sierra Leone,"$3,970,343,852",$3.97 billion,3.50%,"8,605,718",$461
152,Suriname,"$3,620,655,116",$3.62 billion,1.89%,"618,040","$5,858"
153,Andorra,"$3,352,032,737",$3.35 billion,8.81%,"79,824","$41,993"
154,Timor-Leste,"$3,163,324,631",$3.16 billion,-17.49%,"1,341,296","$2,358"
155,Burundi,"$3,073,414,678",$3.07 billion,1.85%,"12,889,576",$238
156,Belize,"$2,824,081,836",$2.82 billion,12.13%,"405,272","$6,968"
157,Lesotho,"$2,553,459,763",$2.55 billion,0.59%,"2,305,825","$1,107"
158,Central African Republic,"$2,382,618,615",$2.38 billion,0.00%,"5,579,144",$427
159,Cabo Verde,"$2,314,816,792",$2.31 billion,17.71%,"593,149","$3,903"
160,Gambia,"$2,273,060,863",$2.27 billion,4.92%,"2,705,992",$840
161,Saint Lucia,"$2,065,027,556",$2.07 billion,15.40%,"179,857","$11,481"
162,Antigua and Barbuda,"$1,757,603,704",$1.76 billion,8.46%,"93,763","$18,745"
163,Guinea-Bissau,"$1,633,559,092",$1.63 billion,3.50%,"2,105,566",$776
164,Solomon Islands,"$1,595,710,784",$1.60 billion,-4.06%,"724,273","$2,203"
165,Seychelles,"$1,588,406,479",$1.59 billion,8.80%,"107,118","$14,829"
166,Grenada,"$1,256,413,185",$1.26 billion,5.80%,"125,438","$10,016"
167,Comoros,"$1,242,519,407",$1.24 billion,2.39%,"836,774","$1,485"
168,Vanuatu,"$983,582,865",$984 million,1.85%,"326,740","$3,010"
169,Saint Kitts & Nevis,"$961,563,259",$962 million,9.00%,"47,657","$20,177"
170,St. Vincent & Grenadines,"$948,558,503",$949 million,4.95%,"103,948","$9,125"
171,Samoa,"$832,421,565",$832 million,-6.02%,"222,382","$3,743"
172,Dominica,"$612,048,148",$612 million,5.94%,"72,737","$8,415"
173,Sao Tome & Principe,"$546,680,342",$547 million,0.93%,"227,380","$2,404"
174,Micronesia,"$427,094,119",$427 million,-0.62%,"539,013",$792
175,Marshall Islands,"$279,667,900",$280 million,1.50%,"41,569","$6,728"
176,Kiribati,"$223,352,943",$223 million,1.56%,"131,232","$1,702"
177,Tuvalu,"$60,349,391",$60 million,0.68%,"11,312","$5,335"
