Country,"Immunization, DPT (% of children ages 12-23 months)","Death rate, crude (per 1,000 people)","Birth rate, crude (per 1,000 people)",Diabetes prevalence (% of population ages 20 to 79),"Life expectancy at birth, total (years)","Mortality rate, under-5 (per 1,000 live births)","Adolescent fertility rate (births per 1,000 women ages 15-19)","Incidence of tuberculosis (per 100,000 people)",Population growth (annual %),"Population, total",Prevalence of undernourishment (% of population)
Afghanistan,66,7.344,35.842,10.9,61.982,55.7,82.565,185,2.851357654,40099462,30.1
Albania,98,11.325,10.24,10.2,76.463,9.5,14.517,15,-0.926918062,2811666,4.1
Algeria,81,4.546,21.524,7.1,76.377,22.3,11.714,54,1.657703201,44177969,2.5
Andorra,99,null,null,9.7,null,2.8,5.887,2.9,1.702288225,79034,null
Angola,45,8.009,38.809,4.6,61.643,69.4,138.402,322,3.166029862,34503774,21.6
Antigua and Barbuda,92,6.365,12.115,11.7,78.497,6.1,33.11,4.9,0.597151595,93219,null
Argentina,81,8.955,13.902,5.4,75.39,6.9,39.065,29,0.947490959,45808747,3.2
Armenia,93,13.007,12.049,5.6,72.043,10.7,18.511,25,-0.522963243,2790974,2.5
Australia,95,6.7,12.1,6.4,83.3,3.7,8.096,6.5,0.140895083,25685412,2.5
Austria,86,10.3,9.6,4.6,81.23902439,3.7,5.521,5,0.435671684,8955797,2.5
Azerbaijan,89,7.6,11.1,5.6,69.366,18.6,40.079,62,0.441197736,10137750,2.5
Bahamas,86,8.986,11.445,8.8,71.598,13.2,25.686,12,0.352416997,407906,null
Bahrain,98,2.479,11.926,11.3,78.76,6.9,8.676,15,-0.96602484,1463265,null
Bangladesh,98,5.68,17.821,14.2,72.381,27.3,75.496,221,1.149318476,169356251,11.2
Barbados,82,9.007,10.832,14,77.571,11.9,42.297,0.41,0.180461454,281200,2.5
Belarus,98,16.544,9.283,5.6,72.37068293,2.7,11.85,28,-0.828232721,9302585,2.5
Belgium,98,9.7,10.2,3.6,81.8902439,4.1,5.33,8.1,0.411601997,11586195,2.5
Belize,83,6.353,17.976,14.5,70.47,11.2,57.127,27,1.285629921,400031,4.9
Benin,76,9.434,36.608,1.1,59.821,83.5,92.259,53,2.759705179,12996895,9.9
Bhutan,98,6.477,12.482,10.4,71.815,26.7,18.977,164,0.642586173,777486,null
Bolivia,70,9.945,21.836,5.5,63.63,24.7,63.792,107,1.193486719,12079472,19.4
Bosnia and Herzegovina,76,15.712,8.42,9.1,75.3,5.6,9.86,25,-1.440652596,3270943,2.5
Botswana,95,9.461,23.576,5.2,61.141,34.9,49.324,228,1.636742755,2588423,22.9
Brazil,68,8.326,12.883,8.8,72.75,14.4,45.2,49,0.528590453,214326223,4.7
Brunei,99,5.211,13.8,11.1,74.642,11.5,9.978,61,0.822461682,445373,null
Bulgaria,89,21.7,8.5,7.4,71.51463415,6.3,38.605,17,-0.814846472,6877743,2.5
Burkina Faso,91,8.958,35.541,2.1,59.27,82.6,110.509,45,2.650375915,22100683,16.2
Burundi,94,7.474,34.842,6.5,61.663,52.6,53.621,100,2.672478462,12551213,null
Cabo Verde,93,6.028,16.951,2.1,74.052,13.5,55.228,35,0.902988883,587925,18.2
Cambodia,87,6.838,19.334,7.3,69.584,24.8,45.453,282,1.165135849,16589023,4.8
Cameroon,69,8.582,34.938,5.5,60.333,69.8,110.378,164,2.635819406,27198628,6.4
Canada,92,7.8,9.6,7.7,82.59660976,5,6.978,5.7,0.575421916,38226498,2.5
Central African Republic,42,11.393,42.68,5.8,53.895,99.9,160.507,540,2.113637226,5457154,48.7
Chad,58,12.504,43.357,5.8,52.525,107.1,138.306,140,3.163887505,17179740,31.4
Chile,95,7.426,11.788,10.8,78.944,6.6,24.082,16,0.994344898,19493184,2.5
China,99,7.18,7.52,10.6,78.211,6.9,11.048,55,0.0892522,1412360000,2.5
Colombia,86,7.735,14.204,8.3,72.83,12.8,59.034,41,1.143820916,51516562,6.6
Comoros,91,8.718,29.398,11.7,63.417,49.7,58.173,35,1.899440995,821625,13.5
Congo,77,7.063,30.691,5.5,63.519,43,103.633,370,2.316488253,5835806,33.3
Costa Rica,93,7.192,11.873,8.8,77.023,7.6,37.148,10,0.600406861,5153957,3
Croatia,92,16.2,9.4,4.8,76.42439024,4.6,8.637,4.4,-4.256648902,3879000,2.5
Cuba,99,14.652,8.922,7.6,73.683,5,48.82,6.6,-0.393012542,11256372,2.5
Cyprus,96,7.257,10.313,8.6,81.203,2.8,6.827,4.4,0.53599943,1244188,2.5
Czech Republic,94,13.3,10.6,7.1,77.37317073,2.8,9.709,3.9,-1.81187141,10505772,2.5
Democratic Republic of the Congo,65,9.7,42.049,5.8,59.193,79,108.962,318,3.22252816,95894118,35.3
Denmark,97,9.8,10.8,5.3,81.40487805,3.6,1.908,3.8,0.433414489,5856733,2.5
Djibouti,59,9.147,22.205,7.4,62.305,54.1,22.722,203,1.40284751,1105557,16.8
Dominica,92,8.986,13.326,11.7,72.814,35.9,38.49,16,0.577535935,72412,6.7
Dominican Republic,84,6.678,18.432,10.5,72.615,33,65.629,43,1.068926667,11117873,6.3
East Timor,86,7.233,24.944,8.6,67.737,50.5,33.877,498,1.598470014,1320942,22.3
Ecuador,72,6.719,16.817,4.4,73.67,12.5,63.163,46,1.182063375,17797737,13.9
Egypt,96,6.327,22.558,20.9,70.221,19,44.767,10,1.658383679,109262178,7.2
El Salvador,78,8.661,16.025,6.3,70.748,12.4,55.89,38,0.340068122,6314167,7.7
Equatorial Guinea,53,9.042,30.498,5.5,60.594,76.8,139.706,275,2.378494519,1634466,null
Eritrea,95,6.729,28.624,6.5,66.536,38.1,64.356,74,1.796101337,3620312,null
Estonia,90,14,10,6.5,76.74146341,2,8.764,9.3,0.105996956,1330932,2.5
Eswatini,77,11.356,24.134,4.6,57.066,52.6,69.934,329,0.979052258,1192271,11.6
Ethiopia,65,6.776,32.383,5,64.975,46.8,69.221,119,2.604319283,120283026,21.9
Fiji,99,8.859,19.345,17.7,67.114,27.7,26.843,66,0.453976646,924610,6.6
Finland,89,10.4,9,6.1,81.93414634,2.2,4.159,3.5,0.207288594,5541017,2.5
France,96,9.7,10.9,5.3,82.32439024,4.4,9.529,7.6,0.285508619,67764304,2.5
Gabon,75,7.258,27.142,5.5,65.821,39.7,91.176,513,2.097988103,2341179,23
Gambia,82,7.543,33.257,1.9,62.083,47.9,63.188,149,2.52879318,2639916,19.6
Georgia,85,15.166,13.412,5.7,71.694,9.5,31.654,64,-0.379636607,3708610,2.9
Germany,91,12.3,9.6,6.9,80.90097561,3.6,7.465,5,0.042327057,83196078,2.5
Ghana,98,7.627,27.548,2.6,63.795,44,64.176,136,2.00774487,32833031,4.9
Greece,99,13.5,8,6.4,80.18292683,3.7,8.479,2.1,-1.21680249,10569207,2.5
Grenada,77,8.151,15.961,12.6,74.936,16.2,32.72,3.1,0.762873605,124610,null
Guatemala,79,6.504,21.12,13.1,69.237,23,64.054,26,1.480316806,17109746,13.3
Guinea,47,9.99,34.425,2.1,58.892,98.7,114.829,175,2.444317219,13531906,12.9
Guinea-Bissau,67,8.716,31.087,2.1,59.652,74.3,87.537,361,2.202589246,2060721,37.9
Guyana,98,9.987,20.298,11.7,65.673,27.7,66.556,64,0.919614739,804567,2.5
Haiti,51,8.676,23.498,8.9,63.192,58.6,52.545,159,1.237298997,11447569,45
Honduras,77,5.608,21.071,5.1,70.123,16.6,71.972,30,1.535139668,10278345,18.7
Hungary,99,16.1,9.7,7,74.46585366,4,22.148,3.7,-0.413751024,9709891,2.5
Iceland,92,6.3,13.1,5.5,83.11707317,2.6,5.395,2.2,1.63931664,372520,2.5
India,85,9.448,16.419,9.6,67.24,30.6,17.234,200,0.797216094,1407563842,16.6
Indonesia,67,10.065,16.425,10.6,67.57,22.2,33.929,339,0.694717688,273753191,5.9
Iran,98,6.437,13.699,9.1,73.875,12.6,30.155,12,0.722822505,87923432,6.1
Iraq,78,4.753,27.367,10.7,70.378,24.5,62.192,24,2.26888921,43533592,16.3
Ireland,94,6.6,11.6,3,82.10243902,3.1,5.941,4.8,0.953878184,5033164,2.5
Israel,98,5.4,19.7,8.5,82.5,3.4,7.614,2.8,1.681905517,9371400,2.5
Italy,94,12,6.8,6.4,82.79512195,2.6,3.993,4.6,-0.515599999,59133173,2.5
Ivory Coast,76,9.001,33.934,2.1,58.598,74.8,104.968,128,2.45530301,27478249,7.7
Jamaica,90,8.797,11.712,11.1,70.5,12.4,32.764,3.2,0.257040922,2827695,8.3
Japan,99,11.7,6.6,6.6,84.44560976,2.3,2.903,11,-0.459952416,125681593,3.2
Jordan,77,3.868,21.95,15.4,74.256,14.6,25.369,4.2,1.989076856,11148278,null
Kazakhstan,95,9.61,23.5,6.6,70.23,10.3,21.877,72,1.299508438,19000988,2.5
Kenya,91,8.056,27.685,4,61.427,37.2,64.185,249,1.942761283,53005614,27.8
Kiribati,90,6.236,27.207,22.1,67.417,48.2,40.477,424,1.888540758,128874,12.1
Kosovo,null,7.22,11.143,null,76.806,10,8.225,null,-0.229015994,1786038,null
Kuwait,94,2.906,10.41,24.9,78.673,8.7,5.638,20,-2.562808093,4250114,2.5
Kyrgyzstan,89,5.8,22.4,6.6,71.9,17.4,34.697,115,2.898362886,6773400,4.8
Laos,75,6.613,21.973,6.2,68.061,42.5,73.175,143,1.433214065,7425057,4.7
Latvia,94,18.4,9.2,5.9,73.28292683,3.7,11.216,16,-0.843294678,1884490,2.5
Lebanon,67,8.271,14.948,8,75.047,8.2,20.306,9.7,-1.249035167,5592631,null
Lesotho,87,14.186,26.107,4.6,53.062,72.9,89.568,630,1.20621788,2281454,46
Liberia,66,8.838,31.287,2.1,60.747,76,123.38,308,2.05886078,5193416,38.4
Libya,73,6.018,17.828,8.7,71.911,10.8,6.93,59,1.214947645,6735277,8.4
Liechtenstein,null,6.9,9.6,6.1,84.40243902,null,3.019,null,0.727556394,39039,null
Lithuania,90,17,8.3,5.8,74.33902439,3.3,10.377,26,0.21280543,2800839,2.5
Luxembourg,99,7,10.5,5.9,82.74878049,2.7,4.304,6.1,1.518349367,640064,2.5
Madagascar,57,7.104,30.949,4.6,64.485,66,119.429,233,2.416869374,28915653,51
Malawi,93,6.983,32.859,7.3,62.904,41.9,117.865,132,2.611417766,19889742,17.8
Malaysia,95,6.034,15.24,19,74.884,7.6,9.271,97,1.119853991,33573874,2.7
Maldives,96,3.02,14.088,9.2,79.918,6,7.291,38,1.355177392,521457,null
Mali,77,9.274,41.643,2.1,58.941,97.1,150.062,50,3.157964369,21904983,12.8
Malta,99,8,8.5,8,82.86097561,5.8,11.484,12,0.619810316,518536,4.6
Marshall Islands,86,7.556,19.28,23,65.269,29.7,58.035,483,-3.189954901,42050,null
Mauritania,68,7.44,33.194,2.1,64.364,40.5,78.013,81,2.553910771,4614974,8.7
Mauritius,92,10.5,10.3,22.6,73.6802439,16.6,24.564,12,0.025272988,1266334,6.8
Mexico,78,9.406,14.857,16.9,70.213,13.2,54.369,25,0.559420832,126705138,2.5
Micronesia,72,6.211,20.777,15.6,70.71,24.9,35.835,80,0.9101587,113131,null
Moldova,87,16.36,12.432,5.6,68.846,14.2,27.795,75,-1.503429523,2595809,2.5
Monaco,99,null,null,6.2,null,2.9,7.162,0,-0.641236846,36686,null
Mongolia,95,6.131,21.413,6.9,70.975,14.7,26.708,414,1.609371036,3347782,8
Montenegro,83,14.8,11.4,9.1,73.82439024,2.3,10.361,14,-0.337762722,619211,2.5
Morocco,99,6.17,17.545,9.1,74.042,18,25.936,94,1.051484312,37076584,6.3
Mozambique,61,8.793,36.598,3.3,59.325,69.6,165.778,361,2.842112349,32077072,30.5
Myanmar,37,9.769,17.103,7.1,65.672,41.8,33.043,362,0.699278204,53798084,3.8
Namibia,94,10.709,27.439,6.7,59.269,39,64.944,452,1.63585889,2530151,17.1
Nauru,98,6.633,27.56,23.4,63.617,27.6,72.479,193,1.579022576,12511,null
Nepal,91,7.776,20.402,8.7,68.45,27.2,63.837,226,2.311723712,30034989,5.4
Netherlands,95,9.8,10.2,4.5,81.46097561,4.1,2.804,4.4,0.523490508,17533044,2.5
New Zealand,90,6.83,11.48,6.2,82.20731707,4.7,12.63,6.8,0.415621677,5111400,2.5
Nicaragua,87,4.859,20.507,9.3,73.837,13.3,85.648,42,1.39120242,6850540,17.8
Niger,82,8.141,45.293,5.2,61.576,115.2,170.462,79,3.707423785,25252722,16.1
Nigeria,62,13.083,37.117,3.6,52.676,110.8,101.675,219,2.406363381,213401323,15.9
North Korea,41,9.313,13.24,8.6,73.284,15.4,2.325,513,0.40294521,25971909,45.5
North Macedonia,81,15.5,10.2,6.1,74.53682927,5.3,16.367,11,-0.359578822,2065092,3.6
Norway,97,7.8,10.4,3.6,83.16341463,2.2,2.336,3,0.534772282,5408320,2.5
Oman,99,3.796,18.419,13.8,72.541,10.1,9.944,5.9,-0.505921839,4520471,2.8
Pakistan,83,7.168,27.519,30.8,66.098,63.3,42.269,266,1.834062082,231402117,18.5
Palau,95,10.2,13.4,17,null,16.2,42.52,51,0.288921192,18024,null
Palestine,95,3.815,28.236,9.2,73.473,14.8,43.469,0.61,2.457038653,4922749,null
Panama,87,6.067,17.692,8.2,76.223,13.9,69.912,42,1.315615015,4351267,5.3
Papua New Guinea,31,6.683,25.514,16.7,65.351,42.8,55.25,432,2.02856054,9949437,23.4
Paraguay,70,7.638,20.627,7.5,70.262,18.2,70.347,46,1.277616002,6703799,4.2
Peru,82,7.988,17.622,4.8,72.377,14.1,56.756,128,1.225660252,33715471,7
Philippines,57,7.311,21.813,7.1,69.266,25.7,48.202,596,1.494557167,113880328,5.2
Poland,90,13.8,8.8,6.8,75.60243902,4.3,9.653,10,-0.401728617,37747124,2.5
Portugal,99,12.1,7.7,9.1,81.07317073,3.1,7.444,16,0.626850165,10361831,2.5
Qatar,98,1.311,9.816,19.5,79.272,5.3,7.069,42,-2.648531832,2688235,null
Romania,86,17.5,9.3,6.5,72.96097561,6.4,36.376,45,-0.746036479,19122059,2.5
Russia,97,16.7,9.6,5.6,69.36121951,5.1,14.988,47,0.039793394,144130482,2.5
Rwanda,88,6.28,29.976,6.5,66.072,39.4,32.444,56,2.371751548,13461888,31.6
Saint Kitts and Nevis,96,10.181,12.125,16.1,71.682,14.6,38.154,0,-0.075592142,47606,null
Saint Lucia,80,10.299,11.49,11.7,71.111,24.8,36.918,2.6,0.230712748,179651,null
Saint Vincent and the Grenadines,92,13.425,12.901,8,69.629,13.7,47.871,8.7,-0.287130995,104332,3.1
Samoa,85,5.343,27.254,9.2,72.767,16.7,43.589,6.8,1.768578216,218764,4.6
San Marino,90,9.1,6.2,7.4,null,1.7,3.751,0,-0.773412758,33745,null
Sao Tome and Principe,97,6.387,28.263,5.5,67.591,15.4,79.418,114,2.022036167,223107,13.1
Saudi Arabia,97,2.864,17.473,18.7,76.936,6.7,11.937,8.2,-0.129847471,35950396,3.8
Senegal,85,5.922,32.573,3.1,67.093,38.6,66.454,113,2.645380545,16876720,5.7
Serbia,91,20,9.1,9.1,72.73073171,5.5,14.897,14,-0.94368817,6834326,2.5
Seychelles,94,9.3,16.8,8.5,73.39756098,13.9,53.444,12,0.805183391,99258,4.3
Sierra Leone,92,9.113,31.36,2.1,60.062,104.7,100.905,289,2.241767371,8420641,27.8
Singapore,98,5.8,8.6,11.6,83.44146341,2.1,2.623,48,-4.1703363,5453566,null
Slovakia,97,13.5,10.4,5.8,74.71463415,5.6,26.307,2.8,-0.212358808,5447247,2.8
Slovenia,86,11,9,5.8,80.87560976,2.2,4.478,4.3,0.26885197,2108079,2.5
Solomon Islands,87,5.028,29.785,19.8,70.348,18.8,60.251,65,2.3817423,707851,19
Somalia,42,11.596,43.561,6.5,55.28,111.8,117.994,250,3.146236588,17065581,48.7
South Africa,86,11.432,19.821,10.8,62.341,32.8,61.206,513,0.998920419,59392255,7.9
South Korea,98,6.2,5.1,6.8,83.52682927,2.9,2.211,44,-0.176408651,51744876,2.5
South Sudan,69,11.05,29.107,6.5,54.975,98.7,99.199,227,1.3303716,10748272,21.4
Spain,92,9.5,7.1,10.3,83.17804878,3,6.281,8.2,0.105799194,47415794,2.5
Sri Lanka,96,7.36,14.019,11.3,76.399,6.7,15.65,63,1.075449957,22156000,5.3
Sudan,84,6.799,33.596,18.9,65.267,54.9,79.908,58,2.70104594,45657202,11.9
Suriname,72,8.667,18.154,12.7,70.274,17.2,56.137,29,0.970459647,612985,9
Sweden,98,8.8,11,5,83.15609756,2.5,3.345,3.8,0.600591533,10415811,2.5
Switzerland,96,8.2,10.3,4.6,83.85121951,3.8,2.212,4.7,0.765501039,8704546,2.5
Syria,48,5.117,20.111,14.9,72.063,22.3,38.72,18,2.621583957,21324367,27.8
Tajikistan,97,4.548,26.749,6.6,71.594,31.4,45.427,79,2.14442566,9750064,9.3
Tanzania,81,6.222,36.21,12.3,66.201,47.1,123.652,208,3.007287233,63588334,23.5
Thailand,97,7.922,8.999,9.7,78.715,8.3,32.744,146,0.175345075,71601103,5.2
Togo,83,8.168,31.856,2.1,61.619,62.6,77.88,33,2.367338962,8644829,17.4
Tonga,99,6.97,23.045,15,70.986,11.1,18.965,7.6,0.722298202,106017,null
Trinidad and Tobago,94,9.131,11.687,12.7,72.971,16.3,38.132,13,0.493855745,1525663,12.2
Tunisia,97,7.884,16.093,9.6,73.772,16.3,6.685,36,0.82886347,12262946,3
Turkey,95,6.398,14.678,14.5,76.032,9,16.884,14,0.910444903,84147318,2.5
Turkmenistan,97,6.585,21.592,6.7,69.264,41.4,21.769,47,1.451977111,6341855,5.7
Tuvalu,94,10.159,23.484,20.3,64.547,21.3,33.085,296,1.212244899,11204,null
Uganda,91,5.877,36.795,4.6,62.705,42.1,107.938,199,3.211427904,45853778,31.6
Ukraine,78,18.5,7.3,5.6,69.64780488,8.2,15.642,81,-0.702971858,43822901,4.8
United Arab Emirates,96,1.874,10.307,16.4,78.71,6.4,3.085,0.81,0.834812788,9365145,2.5
United Kingdom,93,9.7,10.1,6.3,80.7,4.2,10.541,8,-0.081937241,67026292,2.5
United States,94,10.4,11,10.7,76.32926829,6.2,15.966,2.6,0.156747055,332031554,2.5
Uruguay,91,12.162,10.473,9,75.436,5.8,36.226,32,-0.082446609,3426260,2.5
Uzbekistan,98,5,25.9,7,70.862,14.1,15.859,72,1.975706066,34915100,2.5
Vanuatu,62,5.395,29.438,15.6,70.449,23.2,64.063,34,2.362741525,319137,9.5
Venezuela,56,8.124,15.877,9.6,70.554,24.2,82.715,46,-1.025178708,28199867,17.9
Yemen,72,6.845,30.544,5.4,63.753,61.9,54.404,48,2.137789701,32981641,34.5
Zambia,91,6.973,34.511,11.9,61.223,57.7,117.017,307,2.840805978,19473125,29.8
Zimbabwe,88,9.057,30.537,2.1,59.253,49.5,94.312,194,2.045714878,15993524,38.4